loss,accuracy,val_loss,val_accuracy
0.38962623476982117,0.9163811802864075,0.1874910295009613,0.9525691866874695
0.1619315892457962,0.9605621695518494,0.1356898695230484,0.9625823497772217
0.12522277235984802,0.9671497344970703,0.11379404366016388,0.9657443761825562
0.10538831353187561,0.9704874753952026,0.10288871079683304,0.9686429500579834
0.09010014683008194,0.973825216293335,0.09194956719875336,0.9731225371360779
0.07739273458719254,0.9791831374168396,0.08953442424535751,0.9728590250015259
0.06693369150161743,0.9818181991577148,0.08028252422809601,0.9765480756759644
0.05873718485236168,0.9842775464057922,0.08055395632982254,0.9754940867424011
0.05198494717478752,0.9861220717430115,0.07483703643083572,0.9776021242141724
0.046967681497335434,0.9869126081466675,0.0687205046415329,0.9815546870231628
0.040902312844991684,0.9882301092147827,0.07808665186166763,0.9747035503387451
0.03646279498934746,0.990601658821106,0.06822039186954498,0.9810276627540588
0.0330716073513031,0.9904260039329529,0.06698650866746902,0.9789196252822876
